Anel,Medida,Intervalo Superior,Média,Intervalo Inferior
15,Diâmetro (mm),19.534242220383746,19.300000000000004,19.065757779616263
15,Massa (g),1.135263629556565,1.129,1.122736370443435
15,Comprimento (mm),30.487722269452107,30.319511297,30.15130032454789
4,Diâmetro (mm),20.281971839470554,20.175,20.068028160529447
4,Massa (g),1.1200324191006428,1.114,1.1079675808993574
4,Comprimento (mm),30.078685191778995,29.916683422000006,29.754681652221016
11,Diâmetro (mm),20.606832532160734,20.555,20.503167467839265
11,Massa (g),1.161001817683751,1.156,1.1509981823162487
11,Comprimento (mm),31.178926243654647,31.044601471,30.910276698345353
7,Diâmetro (mm),19.818884119582464,19.685,19.551115880417534
7,Massa (g),1.1276428113720087,1.1219999999999999,1.116357188627991
7,Comprimento (mm),30.283063736396734,30.131524956,29.979986175603266
