anel;m1;m2;m3;d1;d2;d3;d4;operador
1;1.121;1.120;1.120;20.33;19.73;20.30;20.37;ponge
2;1.111;1.109;1.110;20.27;19.87;20.08;20.02;ponge
3;1.132;1.130;1.131;19.77;19.28;19.84;19.86;ponge
4;1.119;1.119;1.118;20.21;20.03;20.13;19.97;ponge
5;1.139;1.138;1.137;20.41;20.19;20.36;20.46;ponge
6;1.139;1.140;1.137;19.80;19.93;19.87;19.87;ponge
7;1.127;1.127;1.125;19.70;19.68;19.50;19.59;ponge
8;1.128;1.128;1.123;20.45;20.59;20.48;20.61;ponge
9;1.141;1.139;1.138;20.49;20.01;20.71;20.61;ponge
10;1.126;1.126;1.122;20.17;19.19;20.06;19.82;ponge
11;1.159;1.160;1.158;20.59;20.68;20.57;20.57;ponge
12;1.117;1.115;1.115;19.80;20.02;19.61;19.71;ponge
13;1.122;1.123;1.120;20.44;20.46;20.40;20.31;ponge
14;1.152;1.149;1.149;20.06;20.13;20.31;20.28;ponge
15;1.133;1.136;1.132;19.38;19.93;19.30;19.13;ponge
16;1.124;1.123;1.123;19.99;19.96;19.89;20.06;ponge
17;1.145;1.144;1.146;19.62;19.53;19.75;19.69;ponge
1;1.120;1.120;1.120;20.17;20.26;20.32;20.36;douglas
2;1.110;1.110;1.109;20.23;20.21;20.35;19.91;douglas
3;1.131;1.131;1.132;19.95;19.83;19.87;20.39;douglas
4;1.121;1.120;1.118;20.24;20.28;20.24;20.55;douglas
5;1.137;1.137;1.138;20.34;20.42;20.45;20.44;douglas
6;1.139;1.140;1.140;19.81;19.82;19.86;19.79;douglas
7;1.128;1.127;1.127;19.54;19.72;19.73;19.88;douglas
8;1.125;1.127;1.128;20.42;20.50;20.38;20.48;douglas
9;1.139;1.139;1.142;20.42;20.42;20.37;20.65;douglas
10;1.124;1.123;1.125;20.20;20.17;20.20;20.27;douglas
11;1.160;1.157;1.159;20.62;20.62;20.54;20.62;douglas
12;1.115;1.117;1.114;19.71;19.74;19.77;19.79;douglas
13;1.120;1.122;1.120;20.54;20.44;20.43;20.62;douglas
14;1.149;1.149;1.150;20.13;20.21;20.22;20.21;douglas
15;1.132;1.134;1.135;19.22;19.22;19.27;19.30;douglas
16;1.122;1.123;1.122;20.15;20.22;20.25;20.05;douglas
17;1.144;1.144;1.145;19.67;19.62;19.56;19.62;douglas
1;1.120;1.120;1.120;20.38;20.29;20.31;20.48;laecio
2;1.111;1.109;1.111;20.33;20.30;20.29;20.39;laecio
3;1.131;1.132;1.131;19.97;19.97;19.97;19.93;laecio
4;1.119;1.119;1.119;20.31;20.36;20.22;20.28;laecio
5;1.139;1.138;1.139;20.49;20.53;20.46;20.48;laecio
6;1.139;1.140;1.139;19.87;19.81;19.89;19.77;laecio
7;1.127;1.127;1.126;19.88;19.82;19.73;19.94;laecio
8;1.127;1.127;1.127;20.52;20.34;20.51;20.42;laecio
9;1.140;1.140;1.140;20.39;20.31;20.50;20.21;laecio
10;1.125;1.124;1.126;20.27;20.31;20.08;20.12;laecio
11;1.159;1.157;1.159;20.53;20.65;20.67;20.42;laecio
12;1.116;1.117;1.117;19.89;19.68;19.57;20.00;laecio
13;1.120;1.121;1.121;20.39;20.56;20.58;20.64;laecio
14;1.151;1.148;1.151;20.18;20.19;20.35;20.20;laecio
15;1.135;1.133;1.135;19.12;19.28;19.36;19.37;laecio
16;1.123;1.123;1.124;20.19;19.61;20.07;20.17;laecio
17;1.146;1.146;1.146;19.48;19.57;19.71;19.78;laecio
