i;D1;D2;D3;D4;D5;D6;D7;Dm;s;R;D;EQM;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;d01;d02;d03;d04;d05;d06;d07;d08;d09;d10
1;20,35;20,60;20,95;20,50;20,30;20,75;20,70;20,59;0,23;10,15;20,30;0,1710;0,718;0,720;0,720;0,719;0,718;0,720;0,720;0,717;0,719;0,717;20,27;20,50;20,70;20,57;20,73;20,12;20,32;20,41;20,16;20,76
2;20,35;21,10;20,50;20,55;20,80;20,95;20,90;20,74;0,27;10,13;20,26;0,1267;0,712;0,712;0,712;0,712;0,710;0,713;0,712;0,710;0,712;0,710;20,62;21,22;20,83;20,34;20,53;20,25;20,84;20,91;20,25;20,91
3;19,55;19,90;20,55;20,65;19,50;20,35;20,40;20,13;0,48;9,93;19,86;0,2136;0,698;0,697;0,697;0,697;0,696;0,698;0,698;0,696;0,698;0,696;19,46;19,46;20,31;20,50;20,53;19,43;19,76;20,70;20,69;19,43
4;20,35;21,05;19,85;21,05;20,65;21,00;20,45;20,63;0,45;10,17;20,33;0,2260;0,710;0,709;0,709;0,709;0,710;0,709;0,710;0,709;0,711;0,708;20,09;20,26;20,82;20,29;20,68;20,16;20,16;21,12;20,15;20,44
5;20,30;19,85;20,50;20,65;19,65;19,90;19,65;20,07;0,41;9,79;19,58;0,2101;0,714;0,712;0,712;0,713;0,712;0,712;0,712;0,713;0,713;0,710;19,77;20,22;19,37;20,25;20,23;19,36;19,73;19,75;19,72;20,06
6;20,30;21,20;21,10;21,50;20,55;21,20;20,75;20,94;0,42;10,22;20,44;0,1649;0,712;0,710;0,710;0,711;0,710;0,712;0,711;0,709;0,713;0,708;20,69;20,47;21,23;20,98;20,41;20,46;21,38;20,30;20,55;20,78
7;21,00;21,15;19,45;19,90;20,05;20,60;19,40;20,22;0,71;9,98;19,96;0,2866;0,706;0,704;0,704;0,705;0,703;0,705;0,704;0,705;0,705;0,703;19,35;19,85;20,85;20,16;19,51;20,67;20,90;19,96;19,78;20,95
8;21,15;20,75;20,05;19,95;20,95;20,85;20,75;20,64;0,46;10,14;20,27;0,2012;0,708;0,705;0,705;0,708;0,707;0,707;0,706;0,706;0,707;0,706;21,09;20,71;20,85;20,93;19,82;20,84;20,84;20,72;19,97;20,73
9;20,55;20,10;20,45;20,25;20,65;20,15;20,25;20,34;0,21;10,06;20,11;0,2210;0,700;0,699;0,699;0,700;0,698;0,700;0,699;0,698;0,702;0,698;20,20;20,63;20,64;19,98;20,17;20,67;20,09;20,31;20,57;20,13
10;20,25;20,75;20,45;20,20;20,35;20,20;20,65;20,41;0,22;10,04;20,08;0,1334;0,713;0,712;0,712;0,710;0,714;0,713;0,712;0,712;0,714;0,712;20,03;20,58;20,48;20,36;20,28;20,20;19,91;19,96;20,45;19,83
