a_h2,a_ar,a_co2
38.20093023496893,10.025473839092296,7.879359258568007
41.692349752557966,10.977978717099605,8.544645042604728
44.96485960504165,11.850525366257425,9.157440201724425
48.02877164490781,12.656317361144412,9.728884828180464
50.92472038778567,13.405879266523135,10.233897509153005
53.670551129305885,14.106903167638608,10.777248763441019
56.286609102414026,14.7652727781265,11.263871261662214
58.76668738617373,15.391156432675176,11.729888893494458
61.14555458577186,15.9857640437314,12.177075223865014
63.42545904415539,16.555072680966436,12.608961594305034
65.61545394064494,17.101781705424727,13.02636293778356
